;Balança Comercial (FOB); Exportações 
2000.04;99;4186,145237
2000.05;301;5089,367883
2000.06;162;4858,439081
2000.07;100;5077,953739
2000.08;24;5540,129935
2000.09;-432;4711,999602
2000.10;-641;4637,915911
2000.11;-752;4391,042433
2000.12;-280;4683,742566
2001.01;-576;4539,540764
2001.02;-27;4068,986148
2001.03;-369;5174,087536
2001.04;33;4737,981043
2001.05;98;5352,273976
2001.06;189;5044,699762
2001.07;15;4966,393817
2001.08;540;5734,230483
2001.09;515;4768,935802
2001.10;151;5004,383126
2001.11;204;4511,958984
2001.12;762;4360,56958
2002.01;102;3998,87155
2002.02;174;3663,891817
2002.03;514;4271,626599
2002.04;402;4637,956517
2002.05;272;4433,330894
2002.06;572;4067,45376
2002.07;1.105;6223,855298
2002.08;1.501;5769,434735
2002.09;2.410;6506,549108
2002.10;2.094;6471,603856
2002.11;1.180;5123,010656
2002.12;1.723;5259,137245
2003.01;1.071;4807,966392
2003.02;1.029;5006,760475
2003.03;1.451;5239,146514
2003.04;1.635;5711,584413
2003.05;2.450;6392,537142
2003.06;2.271;5878,793168
2003.07;1.970;6104,708476
2003.08;2.591;6410,824268
2003.09;2.565;7275,979616
2003.10;2.432;7551,954865
2003.11;1.632;5988,185201
2003.12;2.651;6743,215545
2004.01;1.520;5823,436343
2004.02;1.903;5749,205238
2004.03;2.491;7922,372093
2004.04;1.859;6580,059414
2004.05;3.020;7942,824354
2004.06;3.702;9323,606832
2004.07;3.362;8983,391343
2004.08;3.334;9048,431285
2004.09;3.063;8906,530126
2004.10;2.906;8837,166754
2004.11;1.977;8146,817337
2004.12;3.401;9179,076647
2005.01;2.091;7453,719902
2005.02;2.690;7768,51576
2005.03;3.226;9234,611926
2005.04;3.771;9204,034717
2005.05;3.336;9808,823485
2005.06;3.892;10166,9005
2005.07;4.898;11054,13668
2005.08;3.546;11340,83808
2005.09;4.215;10628,79462
2005.10;3.548;9884,629795
2005.11;3.907;10727,61353
2005.12;4.307;10977,5209
2006.01;2.751;9313,975191
2006.02;2.714;8795,019707
2006.03;3.583;11400,82958
2006.04;2.954;9806,965648
2006.05;2.879;10277,81461
2006.06;3.958;11434,67054
2006.07;5.506;13609,73455
2006.08;4.508;13736,50379
2006.09;4.327;12546,62584
2006.10;3.825;12672,98415
2006.11;3.186;11954,77179
2006.12;4.928;12258,27814
2007.01;2.428;11013,64561
2007.02;2.773;10124,03621
2007.03;3.203;12913,23894
2007.04;4.050;12449,60231
2007.05;3.727;13651,27026
2007.06;3.660;13087,6753
2007.07;3.217;14125,49467
2007.08;3.413;15105,06878
2007.09;3.326;14150,55512
2007.10;3.266;15737,29685
2007.11;1.906;14070,18334
2007.12;3.515;14239,36944
2008.01;835;13320,80335
2008.02;736;12817,76784
2008.03;875;12633,29954
2008.04;1.627;14087,01816
