Data	PMC
2001.01	1.879699248
2001.02	-5.018587361
2001.03	2.495543672
2001.04	-1.960784314
2001.05	-2.226027397
2001.06	-1.258992806
2001.07	-4.166666667
2001.08	-1.219512195
2001.09	-2.857142857
2001.1	1.22591944
2001.11	-2.409638554
2001.12	-2.746566792
2002.01	-1.10701107
2002.02	-1.56555773
2002.03	0.347826087
2002.04	-2
2002.05	1.22591944
2002.06	-1.821493625
2002.07	1.811594203
2002.08	2.292768959
2002.09	-1.470588235
2002.1	0.519031142
2002.11	0
2002.12	-5.13478819
2003.01	-4.47761194
2003.02	-1.590457256
2003.03	-11.43847487
2003.04	-3.710575139
2003.05	-6.228373702
2003.06	-5.751391466
2003.07	-4.448398577
2003.08	-5.689655172
2003.09	-2.798507463
2003.1	-2.925989673
2003.11	-0.176366843
2003.12	3.247631935
2004.01	6.0546875
2004.02	5.050505051
2004.03	10.95890411
2004.04	10.21194605
2004.05	10.70110701
2004.06	12.99212598
2004.07	12.10428305
2004.08	6.76416819
2004.09	9.213051823
2004.1	8.333333333
2004.11	6.183745583
2004.12	11.40235911
2005.01	6.261510129
2005.02	2.115384615
2005.03	7.760141093
2005.04	3.321678322
2005.05	2.666666667
2005.06	5.226480836
2005.07	4.485049834
2005.08	6.849315068
2005.09	5.448154657
2005.1	3.764320786
2005.11	4.991680532
2005.12	4.941176471
2006.01	6.585788562
2006.02	6.214689266
2006.03	2.94599018
2006.04	7.44500846
2006.05	7.467532468
2006.06	3.973509934
2006.07	2.225755167
2006.08	6.41025641
2006.09	10
2006.1	6.940063091
2006.11	9.033280507
2006.12	5.717488789
2007.01	8.455284553
2007.02	9.042553191
2007.03	11.60572337
2007.04	7.716535433
2007.05	10.57401813
2007.06	11.46496815
2007.07	9.33125972
2007.08	10.24096386
2007.09	8.181818182
2007.1	9.587020649
2007.11	10.31976744
2007.12	9.437963945
2008.01	11.69415292
2008.02	12.84552846
2008.03	11.11111111
2008.04	8.625730994
2008.05	11.06557377
2008.06	8.142857143
2008.07	11.23755334
2008.08	9.836065574
2008.09	9.383753501
2008.1	9.959623149
2008.11	5.138339921
2008.12	3.779069767
2009.01	6.040268456
2009.02	3.746397695
2009.03	1.282051282
2009.04	7.133243607
2009.05	2.82902829
2009.06	5.680317041
2009.07	6.010230179
2009.08	4.726368159
2009.09	5.121638924
2009.1	8.567931457
2009.11	8.521303258
2009.12	9.243697479
2010.01	10.37974684
2010.02	12.22222222
2010.03	15.69620253
2010.04	9.170854271
2010.05	10.28708134
2010.06	11.375
2010.07	11.09770808
2010.08	10.57007126
2010.09	11.93666261
2010.1	8.680947012
2010.11	9.930715935
2010.12	10.25641026
2011.01	8.256880734
2011.02	8.53960396
2011.03	3.938730853
2011.04	10.24165708
2011.05	6.290672451
2011.06	7.070707071
2011.07	7.057546145
2011.08	6.337271751
2011.09	5.114254625
2011.1	4.253112033
2011.11	6.722689076
2011.12	6.666666667
2012.01	7.733050847
2012.02	10.60433295
2012.03	12.52631579
2012.04	5.949895616
2012.05	8.163265306
2012.06	9.329140461
2012.07	7.200811359
2012.08	10
2012.09	8.592132505
2012.1	9.154228856
2012.11	8.366141732
2012.12	5.087209302
2013.01	5.998033432
2013.02	-0.309278351
2013.03	4.490177736
2013.04	1.674876847
2013.05	4.433962264
2013.06	1.62991371
2013.07	6.05487228
2013.08	6.152433425
2013.09	4.194470925
2013.1	5.378304467
2013.11	7.084468665
2013.12	3.87275242
2014.01	6.400742115
2014.02	8.686659772
2014.03	-1.074306177
2014.04	6.686046512
2014.05	4.60704607
2014.06	0.943396226
2014.07	-0.89206066
2014.08	-0.951557093
2014.09	0.54894785
2014.1	2.162629758
2014.11	1.441899915
2014.12	0.266311585
2015.01	0.523103749
2015.02	-3.330161751
2015.03	0.271493213
2015.04	-3.269754768
2015.05	-4.490500864
2015.06	-2.710280374
2015.07	-3.870387039
2015.08	-6.899563319
2015.09	-6.278434941
2015.1	-5.67315834
2015.11	-7.775919732
2015.12	-7.237715803
2016.01	-10.5810928
2016.02	-4.232283465
2016.03	-5.685920578
2016.04	-6.854460094
2016.05	-8.951175407
2016.06	-4.803073967
2016.07	-5.617977528
2016.08	-5.534709193
2016.09	-5.922330097
