Data;5717 - NFSP sem desvalorização cambial (% PIB) - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governo Federal e Banco Central - %
12/1991;6,25
01/1992;6,12
02/1992;6,92
03/1992;8,28
04/1992;7,77
05/1992;8,44
06/1992;9,12
07/1992;10,04
08/1992;10,67
09/1992;12,18
10/1992;12,99
11/1992;13,76
12/1992;14,87
01/1993;14,55
02/1993;16,26
03/1993;16,41
04/1993;16,56
05/1993;15,34
06/1993;16,18
07/1993;16,96
08/1993;17,72
09/1993;16,70
10/1993;16,64
11/1993;16,81
12/1993;18,77
01/1994;19,13
02/1994;20,16
03/1994;21,62
04/1994;23,67
05/1994;26,08
06/1994;28,89
07/1994;22,13
08/1994;16,43
09/1994;13,12
10/1994;10,45
11/1994;9,11
12/1994;7,86
01/1995;6,59
02/1995;6,21
03/1995;4,93
04/1995;3,63
05/1995;2,10
06/1995;0,52
07/1995;0,40
08/1995;0,66
09/1995;1,00
10/1995;1,32
11/1995;1,51
12/1995;2,06
01/1996;2,43
02/1996;2,27
03/1996;2,11
04/1996;2,68
05/1996;2,85
06/1996;2,82
07/1996;2,67
08/1996;2,75
09/1996;2,61
10/1996;2,70
11/1996;2,58
12/1996;2,24
01/1997;2,26
02/1997;2,14
03/1997;2,40
04/1997;2,17
05/1997;2,18
06/1997;2,07
07/1997;2,17
08/1997;1,87
09/1997;1,98
10/1997;2,02
11/1997;2,03
12/1997;2,24
01/1998;2,27
02/1998;2,51
03/1998;2,42
04/1998;2,57
05/1998;2,84
06/1998;3,29
07/1998;3,37
08/1998;3,32
09/1998;3,71
10/1998;3,97
11/1998;4,48
12/1998;4,50
01/1999;4,22
02/1999;4,11
03/1999;4,63
04/1999;4,54
05/1999;4,64
06/1999;4,01
07/1999;3,91
08/1999;4,11
09/1999;3,22
10/1999;3,04
11/1999;2,32
12/1999;2,42
01/2000;2,45
02/2000;2,47
03/2000;1,89
04/2000;1,79
05/2000;1,54
06/2000;1,77
07/2000;1,89
08/2000;1,61
09/2000;1,82
10/2000;1,95
11/2000;2,09
12/2000;2,09
01/2001;2,25
02/2001;2,08
03/2001;1,92
04/2001;1,71
05/2001;1,19
06/2001;1,25
07/2001;1,15
08/2001;1,34
09/2001;1,27
10/2001;1,07
11/2001;1,34
12/2001;1,92
01/2002;1,52
02/2002;1,73
03/2002;2,11
04/2002;2,14
05/2002;2,59
06/2002;2,15
07/2002;1,37
08/2002;1,88
09/2002;1,33
10/2002;1,56
11/2002;1,18
12/2002;0,67
01/2003;1,11
02/2003;1,01
03/2003;1,11
04/2003;0,70
05/2003;0,96
06/2003;1,55
07/2003;2,66
08/2003;2,65
09/2003;3,38
10/2003;2,97
11/2003;3,26
12/2003;3,62
01/2004;3,34
02/2004;3,25
03/2004;2,96
04/2004;3,21
05/2004;2,84
06/2004;2,38
07/2004;1,93
08/2004;1,65
09/2004;1,49
10/2004;1,60
11/2004;1,57
12/2004;1,38
01/2005;1,40
02/2005;1,62
03/2005;1,75
04/2005;1,54
05/2005;1,93
06/2005;2,29
07/2005;2,43
08/2005;2,60
09/2005;3,09
10/2005;3,13
11/2005;3,32
12/2005;3,38
01/2006;3,88
02/2006;3,87
03/2006;3,96
04/2006;4,03
05/2006;3,65
06/2006;3,62
07/2006;3,59
08/2006;3,48
09/2006;3,25
10/2006;3,14
11/2006;3,05
12/2006;3,09
01/2007;2,50
02/2007;2,41
03/2007;2,49
04/2007;2,42
05/2007;2,74
06/2007;2,51
07/2007;2,52
08/2007;2,42
09/2007;2,44
10/2007;2,35
11/2007;2,12
12/2007;2,19
01/2008;1,82
02/2008;1,85
03/2008;1,43
04/2008;1,34
05/2008;1,17
06/2008;1,10
07/2008;0,93
08/2008;0,73
09/2008;0,39
10/2008;0,00
11/2008;0,18
12/2008;0,80
01/2009;1,43
02/2009;1,45
03/2009;1,77
04/2009;2,07
05/2009;2,25
06/2009;2,57
07/2009;2,91
08/2009;3,24
09/2009;3,94
10/2009;4,26
11/2009;4,03
12/2009;3,22
01/2010;2,85
02/2010;2,87
03/2010;3,04
04/2010;2,71
05/2010;2,69
06/2010;2,51
07/2010;2,46
08/2010;2,43
09/2010;1,37
10/2010;1,39
11/2010;1,58
12/2010;1,18
01/2011;1,24
02/2011;1,25
03/2011;0,97
04/2011;1,11
05/2011;1,12
06/2011;1,11
07/2011;0,94
08/2011;1,12
09/2011;1,62
10/2011;1,64
11/2011;1,59
12/2011;2,00
01/2012;1,91
02/2012;1,88
03/2012;2,00
04/2012;2,01
05/2012;1,92
06/2012;1,92
07/2012;1,94
08/2012;1,73
09/2012;1,68
10/2012;1,59
11/2012;1,83
12/2012;1,27
01/2013;1,11
02/2013;1,39
03/2013;1,46
04/2013;1,57
05/2013;1,61
06/2013;1,68
07/2013;1,76
08/2013;1,95
09/2013;2,23
10/2013;2,27
11/2013;1,76
12/2013;2,07
01/2014;2,44
02/2014;2,18
03/2014;2,01
04/2014;1,77
05/2014;2,02
06/2014;2,18
07/2014;2,47
08/2014;2,64
09/2014;3,35
10/2014;3,51
11/2014;4,16
12/2014;4,70
01/2015;4,53
02/2015;5,30
03/2015;6,20
04/2015;5,97
05/2015;6,40
06/2015;6,52
07/2015;7,02
08/2015;7,34
09/2015;7,48
10/2015;7,55
11/2015;7,50
12/2015;8,57
01/2016;8,99
02/2016;8,76
03/2016;7,75
04/2016;8,16
05/2016;8,14
06/2016;8,01
07/2016;7,65
08/2016;7,76
09/2016;7,58
10/2016;7,14
11/2016;7,81
12/2016;7,62
01/2017;7,18
